"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"3474";"Q473554";"tt0023002";"113630";;"Queen of Atlantis";"0"
"3490";"Q2179767";"tt0032420";"3488";;"Drums of Fu Manchu";"0"
"10570";"Q1429114";"tt0091060";"10570";;"Flodder";"0"
"15755";"Q77885232";"tt0337587";"15755";;"Bugs!";"0"
"39893";"Q1891905";"tt0059496";"39893";;"The Nanny";"0"
"40157";"Q136258474";"tt0199528";"40157";;"Flesh and Blood: The Hammer Heritage of Horror";"0"
"48489";"Q2353378";"tt0783798";"48489";;"The Sin";"0"
"50097";"Q136098466";"tt3951368";"50097";;"War of the Servers";"0"
"51078";"Q136416733";"tt0109894";"51078";;"Getting Out";"0"
"62293";"Q136356488";"tt1453250";"62293";;"Jan z drzewa";"0"
"76160";"Q106718614";"tt1601455";"76160";;"Head Cold";"0"
"79021";"Q134288827";"tt0450461";"79021";;"Mimon";"0"
"84661";"Q136206573";"tt0211942";"84661";;"Belfast, Maine";"0"
"86389";"Q128192187";"tt1311713";"86389";;"Rhyme and Punishment";"0"
"92234";"Q106718704";"tt1823680";"92234";;"Der Adel Vom Görli";"0"
"100135";"Q136210817";"tt0311862";"100135";;"Statistics";"0"
"108305";"Q136101092";"tt1449836";"108305";;"Perpetuum Mobile";"0"
"109146";"Q135097040";"tt1886531";"109146";;"Ecotopia";"0"
"110062";"Q136313787";"tt2279344";"110062";;"Tomb Raider XXX: An Exquisite Films Parody";"1"
"111438";"Q136411664";"tt0468476";"111438";;"Experiment";"0"
"117672";"Q64768379";"tt13440002";"117672";;"Vilai";"0"
"121620";"Q136206945";"tt0062385";"121620";;"The Touch of Her Flesh";"0"
"129082";"Q136397884";"tt0179138";"129082";;"The Couples of Boulogne";"0"
"136488";"Q22126745";"tt2073156";"136488";;"Friends After 3.11";"0"
"147513";"Q64040983";"tt2258605";"147513";;"Snuf de Hond en de Jacht op de Vliegende Volckert";"0"
"151939";"Q106718868";"tt1606229";"151939";;"Goodnight Nobody";"0"
"152216";"Q9370570";"tt0240423";"263856";;"The Cock Fight";"0"
"154043";"Q136416662";"tt0390240";"154043";;"Machine Dreams";"0"
"157206";"Q136350001";"tt0095266";"157206";;"Gwiazda Piołun";"0"
